index,user,title,content,comment,link,date,veiw,rate
32123354,주머니날개짓,나이엘 썰 9,"나도 그랬어.아마, 다른 사람도 별반 다르지 않을 거로 생각해.네가 얼마나 노력했는지, 얼마나 진지하게 살았는지그 꿈이나, 뭐 여러 가지들 있잖아.그런 걸 끝까지, 마지막까지...맞는 말인지 모르겠는데.관철할 거라곤 생각 못 했어.남을 깔아보는 태도, 열등하니 뭐니 무시했지만아마 넌 그만큼 그 누구보다 진심으로, 열정적으로 살았어.그래서 그랬던 거겠지.알아 봐 줬음 했겠지. 그야... 멋지긴 하잖아. 니가 좋아하던 소설, 뉴에이지의 주인공 '민혁' 멋지긴 하잖아?영웅처럼 다른 사람을 위해 싸우고 싶었던 주제에, 너도 그게 부끄러워서 그런 태도를 취한 거라고이제 와서 생각해 봐.그런 너니까그러니까 설령, 패배하고, 좌절하더라도 주저앉아서 추하게 울어도약간만 도와 준다면, 가벼운 최면이라도 좋으니까약간만 도와 준다면, 몇 번이고 일어설 수 있는그런 너니까거기서, 아직 아무것도 하지 않은 채로, 아직 아무것도 못한 채로사라져도 괜찮은 사람이 아니었다고.적어도, 적어도...나보다는 니가 더 가치 있음을 세상이 증명해 줄 거였어.조금만 더, 여기 이런 작은 아카데미가 아니라 더 넓은 곳에서많은 사람을... 구할 기회가 있었을 거고좋은 사람들 사이에서, 얼마든지...좋은 사람을 만날 수 있었을 거고너의 손짓, 너의 웃음, 너의 결의, 너의 노력, 너의 삶모조리 그곳에서 아직 여기에서 허망하게 잃어버릴 만한그런 종류의 가치가 아니라...날 봐.지금 날 봐.시간이 흐르니까, 이제 며칠 정도 지나니까.이젠 그다지 충격적이지도 않아.어제도, 밥은 맛 있더라.생각해 보면 진짜 웃기지?아버지, 엄마, 형전부 잃어버릴 때에도 이튿날에는 밥을 먹었어.그 얼마나 슬프던 간에, 그 얼마나 소중했던 간에배는 고프고 잠은 오고...마치 나만이 짐승적 본능을 버리지 못한 것처럼, 나 혼자만이 그래.근데, 삼촌은 말했어. 그런 건 당연 한 거라고.인간은... 사람은 동물이잖아.그래, 그러니까...그런 거라고 받아들일 수 있었던 주제에.니가 뭐라고? 고작해야 같은 반 싸가지 없는 년 이잖아?나를 노예 부리듯 부리고, 고작해야 자기가 좋아하는 소설의 주인공이랑같은 이름이라서 끌고 다녔던.나이엘, 너는 대체 뭐야?대체 뭐길래? 그리고...나는 얼마나 쓰레기길래...?째깍, 째깍불이 꺼진 방 안에서, 계속 컴퓨터 화면을 보고 있다.홀린 것처럼, 미쳐 버린 것처럼 무언가를 찾고 있다.기사, 뉴스, 관리국 보도 자료.학교에서 말해 준 것이 거짓이길 바라는 걸까?어디 한구석, 모퉁이라도 좋으니까이 현실이 거짓말일 이유를 찾고 있다.차라리 이곳이 이면 세계였다면니가 살아 있는 곳이, 니가 영웅처럼 싸워 이기고가끔은 소녀처럼 울고, 또 이겨 내는 세상이 현실이라면.믿을 수 없는 사건에 휘말리지만, 그래도 모든 걸 받아들이고계속 싸워 나가는 나이엘이 주인공인 세계 였다면...지금, 이게 꿈이라면...진짜 웃긴 게 뭔 줄 알아?나이엘 너는 죽지 않았는데. 지금 너는 정확하게 말 해서 죽은 게 아닌데.빙의형 그림자에게 몸을 빼앗겼을 뿐인데. 너희 아버지... 블루스틸 네트워크 사장과 아카데미...그리고 관리국은 이미 니가 죽었대.장례도 치렀어.니가 없는데. 니 유품이랍시고, 뭐 이상한 거 넣어서... 거기엔 니가 없는데.진짜 웃기지? 모처럼 모은 뉴에이지 전집 어떻게 할 거냐고...주인 없는 관 안에서 타버렸다고 하더라고.나...?아, 음... 미안.근데, 그렇잖아?거기엔 니가 없잖아? 가지 않았어.아카데미에서도 학장으로, 막 회장이랑 다른 애들 나와서 꽃을 놓고...웃겨서 말이 안 나오더라고.그냥 빠져나와서 건틀렛하러 피시방 갔어.'째깍, 째깍'시끄럽네.듣자 하니, 애초에 채굴 할 만한 가치가 있는 이면세계도 아니고.탐사 완료되어서 가치가 없는 항로의 중심도에서 일어난 일이라.항로 째로, 관리국 이름으로 봉쇄 한다고 하더라고.그러면 들리는 사람은 기껏 해야 그런 거 신경 안 쓰는 언더그라운드나범죄자들, 다이브 해적들 정도겠지.왜 구하러 가지 않냐고?토벌이겠지.하하, 웃기지 않아?사람이 죽었는데.가성비가 안 나온데.가격 대 성능비, 코스트 퍼포먼스가 나오질 않는다고 하더라?하하, 미친놈들.아니... 그게 맞지.빙의형 그림자 '나이트메어'에 대한 건 이전부터 태스크포스나 관리국을 통해서 정보 전달이 되고 있었어.중요한 항로도 아니고, 중요한 이면세계도 아니니까.봉쇄하고 말려 죽이겠다는 거지 뭐. 그 편이 관리국 주도로 몇이나 되는 태스크포스를 모아서 토벌 팀을 만드는 것보다 싸니까.혹시나, 혹시라도 나이트메어가 그 심도에서 빠져나오면 어떻게 하려고?개지랄들 하고 있어.애초에 빙의형 그림자한테 몸을 빼앗겼다고. 그 사람이 죽은 게 맞아?모르잖아? 빙의형이라고 너희가 이름 붙였잖아. 어떻게 하면 되돌릴 수...'째깍, 째깍'...아니, 나도 알아.지금은 이럴 수밖에 없다는 걸.무언가의 피해가 발생 하지 않는 한.지금 당장은 이러는 게 최선이야.이 정도면 그래도 오늘도 죽어 나가는 사람에 비해서 훨씬 대접이 좋은 거지.막, 친구를 위해 싸운 영웅이니... 뭐니 떠들어 대고 있어.네 죽음을 이용해서, 블루스틸 네트워크는 지원을 받고 있고.카운터 아카데미는 연일 반 관리국계열 언론사에게 트집 잡히고 있고.하하, 천지 차이 맞아.오늘도 여기 그라운드 원이 아닌 다른 곳, 멀리 안 나가도 괜찮아.예를 들면, 그라운드 투 근처 재해난민 보호구역만 가도...사람은 죽어 나가고 있어.카운터 범죄, 생계형 범죄... 살기 위해서 아이를 팔아 치우는 일도 있다.이 정도면, 국내외로 대대적으로 알려진 정도면.대접 좋은 거라고 생각해.그치? 나이엘?치이익, 타다닷하고, 가스 레인지에 불이 올라간다.한참을 멍하게 바라본다.구식 기숙사라 그런가 위험하게도 요즘 시대에 가스를 쓰고 있다.보통은 전기계열 인덕션을 둘 텐데.파란 불꽃과 주황빛 불꽃이 선을 그리며 새카만 원을 뒤덮는다.마치 진혼의 등불 같다고 생각했다.나에게 나이엘을 그만 놓으라고 소리지르고 있다.하하, 미친놈이네.배가 그렇게 고팠냐?라면을 끓이려고, 물을 올리고서뭐 하는 거야?아까까지만 해도 나이엘을 떠올리며 머릿속으로 말하면서 달래 던 주제에.그렇게나 밥이 먹고 싶었나?배가 고팠던 건가.'째깍, 째깍'불이 꺼진 방 안에, 가스레인지의 불이, 원형으로 두 겹.파란색과 주황색.내 얼굴을 일렁이면서 비춘다.이것 봐. 이것 좀 봐.나이엘 니가 관심을 가진, 니가 좋아하던 영웅이랑 같은 이름의 나는.이렇게 쓰레기야. 니가 없어도, 너따위 없어도 마치 아무 상관없었다는 듯이배가 고파서 라면을 먹으려고 물을 올렸잖아.어쩌면, 어쩌면, 너와 함께 한 건,사람이 아니라침식체를 넘어선 괴물일지도 몰라.니가, 호의를, 동정을, 마음을 베풀었던 사람은괴물이야.'째깍, 째깍'아... 진짜 시끄럽네.아까부터 거슬리게 시계 소리...그러고 보니까, 너 시뮬레이션 탈의실에 뭐 놔두고 갔더라.야... 그런 부끄러운 걸 놔두고 가면 어떻게 하냐? 승리 대사에 무슨 설정에...뭐, 나이엘 세컨드 윙? 안에 뭐 이런 개발새발 낙서까지 하고. 이거 학생회 걔 누구야... 그... 마술 하는 얘가 봤으면...돌려줘야 하는데.너희 아버지한테 돌려주진 못 했어.어쩌다 보니까, 내가 갖고 있어.'째깍, 째깍'나는 냄비에 물을 받는다.수도물을 받아, 그대로 내 얼굴을 비추는 불꽃들의 춤을 가린다.쇠끼리 부딪치며 살짝 긁히는 소리.눈앞의 일렁이 가라앉는다.""윽....으...으으...""왜 자꾸 잦아드는 거야.왜 영원히 미치질 못하는 거야.왜 정신은 금방 돌아와 버리는 거냐고.왜, 아직도 살아 있는 거냐고.머리로는 이해해.백 번이고 수천 번이고 이해한다고.고작 해야 나이엘이 죽었다는 게 뭐?고작해야 우리가 말을 섞은 것은 1년 남짓.동급생 그 이상도 이하도 아니...아니....""아니! 아니야!!!""몸을 부여 잡는다.두려워서, 무서워서가 아니라쥐어뜯을 생각으로 그대로 양팔을 양손을 교차시켜서뜯어버릴 생각으로.이를 악물고서, 추하게 눈물을 뿜으면서손톱을 세워서 뜯어버릴 생각으로 힘을 줘도끝끝내, 아무것도 하지 못한다.제발, 제발 부탁할게.제발 울리지 말아라.시계야, 울지 말아라.""나이엘... 나이엘...""그대로 고꾸라져서, 이제는 없는 사람의 이름을 부른다.나이엘이 누군데?재수 없는 동급생나이엘이 누군데?나의...나이엘이 누군데?내가...나이엘이 누군데?내가 좋아했던...아니, 지금도 좋아하는 유일한 사람.그걸, 몰라서 그걸 깨닫지 못해서...너는 웃었다. 웃겨~하고, 어느 상황에서도웃었다. 웃었잖아.나사 빠진 것 같은 그 열 받는 얼굴이그 웃음이, 너의 실력이나 노력, 태도 그 모든 것을 초월해서같은 '사람'처럼 느껴져서 얼마나얼마나, 안도가 되었는지.이 미쳐 버린 세상에서, 유일하게 하나 남은 거였는데.그걸 이제서야... 이제서야...!'울지마 민혁아. 괜찮아.'안 울어.못 울어.익숙한 누군가의 목소리.'짜식, 민혁아. 괜찮아. 울지 마. 내가 옆에...'안 울어.못 울었어.울지 못 했어.그렇게 하려고 했고, 이젠 그러지 않으려고 해도...""아으... 아으으...!""울면 뭐가 달라지는데? 그렇다고 울지 않으면 뭐가 더 달라지는데?달라지는 건 없어.'째깍, 째깍'아... 제발... 시끄러워.그만, 그만 해.그만 울어.제발 좀 내버려 둬.'째깍, 째깍'달라지는 건 없다.그냥, 시간이 지나면 배가 고프다. 먹고 나면 심심해 질 거고. 그러고 나면 졸리게 되겠지.그 어떤 각오도, 결의도, 슬픔도, 좌절도 시간 앞에서 무력하니까.당연하지. 우린 동물이다. 사람이니까. 망가져도 숨을 쉬고 싶다.어딘가 한 군데 고장나도, 숨이 쉬고 싶다.아니, 오히려 그런 걸 바라지 않게 되는 게 진짜로 생물적으로 진짜 고장 난 거겠지.그런 점에서, 나는 절대로 고장나지 않는다.'째깍, 째깍'고장이 날 수 없다.""민혁아? 안에 있어?""""......""띵동하고, 벨이 울린다. 익숙한 기숙사 사감의 목소리.이것 봐라? 진짜 병신 같지? 나이엘.나는 지금 밖에 벨이 울리니까 아무렇지 않게 일어났어.그냥, 아무런 일 없는 것처럼 일어나서, 문을 열었다고.""네 무슨 일이예요 사감쌤?""도어락 버튼을 눌러, 키를 해제하고서 문을 연다.기숙사 복도의 빛이 사선으로 파고 들어온다.눈이 부셔서 살짝 찡그린 채로 문고리를 붙잡는다.사감은 그런 나를 바라본다. 나보다 훨씬 키가 큰 180 중반대의 신장.이곳 아카데미의 졸업생이자, 기숙사 관리자인 남자.어깨까지 오는 갈색 머리를 기른 사감은 얼굴만 보면 유약 해 보이는 인상이지만,몸은 건장하기 그지없어 언밸런스 하다.살짝 옅은 이목구비에 동그란 로이드 안경, 짙은 입술이 특징인 20대 중반의 남자는 일반적인 기숙사 관리인과는 달리융통성이 좋다고 해야 하나.그래서 기숙사생들과 자주 어울려, 게임을 하거나 농구를 하거나 한다.이 남자가 취했을 때 들려주는, 지금 카운터 아카데미 교사의 이야기는 뜻밖에 재미있었다.얻어 먹은 술도 어딘가 일탈의 느낌이 나서...관리인은 방 안에서 나온 나를 내려다보며 고개를 갸웃한다.""...... 불은 왜 다 꺼두고 그래? 가스 조심... 아, 뭐 넌 알아서 잘하겠지.""항상 이런 식이다. 어느 정도 친분이 있으면, 문제만 안 일어나면 OK라는 사람이다.입버릇처럼 '나도 천날만날 기숙사 사감 할 거 아니니까 공부하느라 바빠. 같이 공부하자' 하면서 같이 놀아주는,그런 사람이다.관리인은 몸을 돌려, 끌고 온 끌차에서 뭔가를 들어 올린다.""이거, 니 앞으로 온 건데.""내게 건넨다.""그 왜... 사실 도착은 한 참 전에 했는데...그 있잖아? 다이브 실습 전 주라서... 이것저것 준비하느라 나도 바빴거든...""둔탁한, 실버 계열의 하드케이스. 관리인은 그걸 양손으로 내게 건넨다.받아 든다. 나는 그 하드 케이스의 손잡이를 붙잡고, 들어 올린다.부피에 비해 가볍다. 하지만 확실하게 느껴지는 무게.베이스 기타의 하드케이스 같다.예전에 한 번, 어그로네 집에서 들어 본 적이 있는데그거랑 무게가 비슷하다. 길이나 폭도.""미안, 받아만 두고 깜빡 잊었어. 미안해!""관리인은 곤란하다는 듯이 웃는다.카운터 아카데미에 들어 오는 물건은 전부 검품을 하니까.기계로 검품을 하니까. 식품이 아닌 걸 알았을 것이다.그러니까, 받아 두고 진짜 잊어버릴 수도 있다.뭐, 상하지만 않는다면.""아뇨, 저도 오는 줄도 몰랐는데요...""애초에 이런 게 올리가 없는데.처음 보는 물건이다.이런 크고 기다란 물건...""이거... 수신자가...""나는 케이스 손잡이 부의 유격을 따라서 밀봉씰을 바라보고서 말한다.그곳에 적힌 것은 나랑 상관없는 발신자, 회사와내 이름과는 약간 다른... 수신자.""근데 주소랑 전화번호 맞잖아? 친구가 장난 친 거 아냐? 그 왜... 그 떡볶이 어묵만 먹는 걔라던가?""아, 블로킹을 말하는 건가.하긴 주소는 정확하다. 전화번호도 정확하다.다만, 이름이 길다. 원래 내 이름보다 길다.내 성이 없고, 다른 이상한 이름이 적혀 있다.""네, 네... 제꺼 맞아요.""""그러면 수령 인증 좀 해 줄래?""나는 휴대용 단말을 켜서, 수령 인증을 한다. 오른 검지로 휙 그어, 민혁이라고 대충 이름을 단말에 넣는다.사감은 그 결과를 자기 단말로 확인하더니, OK하고 주머니에 단말을 집어넣는다.""장난이라도 다음부터는 수령인 제대로 실명으로 기재 해 달라고 해.""""예...""""그럼 간다? 가스 안전 수칙 지키고? 알지""""예...""항상 느끼지만, 기숙사도 그렇고 나이엘네 현관문도 그렇고보수가 필요하다. 끼이익하고 철문이 닫히는 소리는 마치, 사람은 가두는 것 같아.이 방 안에 마음이고 뭐고, 죄다 구겨서 박아 넣은 것 같아.나는 오른손에 든 물건을 들고 방 안에 오른다.알파벳 P자 형태로 생긴 기숙사 원룸.불이 꺼진 방 안에는 아까 올려 놓은 물이 조금씩 들썩이고 있다.방 안으로 들고 들어 가 확인할까 하다가 무겁기도 하고 귀찮기도 해서싱크대 앞에 내려 놓는다.마기의 대적자, 리이 헤븐즈 사인 = 민혁이라고수령인이 지정 된 실버 색상의 하드케이스를 내려 놓는다.알파트릭스라고, 업체 명이 박힌 가로로 긴 봉인씰을 뜯는다.거기에도 알파트릭스라고 로고가 유격을 따라 가로로, 길게 맞물려 있다.나는 손을 떨며, 케이스를 연다.철컥, 철컥, 몇 개의 잠금쇠를 해제하고서 열린 케이스 안에서증기가 뿜어져 나온다. 이터니움 정제품들이 들어간 상품들은 이런 식으로포장을 하는 거라고 들은 적이 있다.""아...아아....""블레이드, 환도를 베이스로 만든 블레이드.MH라고, 이니셜이 음각으로 박아진 검집, 그리고 그건 검집 아래의 도신에도 있을 것이다.비녀장 형태로 잠금 장치가, 그냥 되는 대로 신나서 말해 본 대로그때 니가, 어린아이처럼 꿈꾸듯이 말한 대로만들어진 블레이드.""아......""블레이드 외에 한쪽에 수납 공간에는 자수로 뜬 띠돈매듭 가죽이 스트랩처럼 말려 있다.그리고 아무리 봐도 이 상품과 어울리지 않는 편지.누가 봐도, 어린애가 고급스러워 보이겠지하고멋부린 듯한 편지지.손이, 마치 감전 된 사람처럼 부들부들 떨린다.하지만 편지지를 집는다.필사적으로, 울음을 막으려 했지만 미친 듯이 토해낸다.처음부터 태어나기를 모든 걸 쏟기 위해 태어난 사람처럼코고 눈이고 입이고 구멍이란 구멍에서 모든 걸 쏟는다.시야가 흐려져, 편지지를 수도 없이 적시면서도펼쳐서...""나이엘... 나이엘... 읏...으....으...으....아....""도저히 읽을 수가 없다.도저히... 도저히 읽어지지 않는다.머리 위에서 불꽃이 타오른다.물이 끓는다.""아...아..아흐...""블레이드를 케이스 밑에 있는 헝겊째로 끌어안는다.몸이 베일까 두려워하지도 않고, 그냥 끌어안는다.그대로 고꾸라지듯이, 마치 블레이드가 신이라도 되는 양 몸 안에 가두고서왜... 바보같이... 바보가... 병신이...병신 같은 년아!아... 제발, 제발...!지금이 어떤 시댄데... 이딴 식으로 손편지까지 써서...잘 못한 건...나쁜 건... 난데... 니가 아닌데...!""아흐...에흐...아...""너는 미쳤어.나이엘 너는 미쳤어.이 딴 서프라이즈 이 세상 그 누구도 바라지 않아.누가 이 딴 걸로 기뻐 해?누가 이 딴... 이딴...조잡한 손 글씨, 감정을 정리 못 해서인지 몇 번이나 줄로 벅벅 그은 편지.그 편지가 담긴, 블레이드 안의 고급스러움과는 반대로.조악하기 그지없는 마음의 써 내림.'째깍, 째깍'아, 물이 끓는다.물이 끓는다.배가 고프다.하지 마.하지 마...이럴 때 쓰지 마.이럴 때, 이럴 때만큼 제발...억누른다.억누른다.내 힘이다. 내 힘이니까. 억누를 수 있어.나는 지금 울고 있어.이걸 멈추고 싶지 않아.그러니까, 시계야...이... 좆 같은 시계야 그만 째깍 거려...!제발 멋대로 쓰지 마. 무의식으로 쓰지 마.내 능력을 쓰지 마...!지금은 제발... 부탁이니까, 조금만 더... 10초 정도여도 되니까...끌어안은 블레이드가 떨리며, 철컥 철컥.내가 사랑한 사람을 위해서 울게 내버려 둬...망가져도 되니까... 제발...양 어금니가 부서져라 깨물고서, 들썩이는 호흡을 느낀다.잔뜩 일그러진 얼굴을 타고 뜨거운 게 목 메이듯이 터져 나온다.나이엘...!나는 카운터. 등급은 C. 평범하기 그지없는 카운터.류민혁.능력은 하나.신체의 내부 조작. 신경이든, 호르몬이든 뭐가 되었든 간에 내 맘대로 할 수 있다.나는 울지 않는다. 아프지 않는다.그러니까...""나이...엘...으...으흑...아...아아...""마음이 아프진 않다.이제 곧, 배가 고파 올 테니까.물을 끓고 있으니까.하지만...단 하나.머리 위에서 타오르는 불꽃처럼. 딱 하나.불이 붙기 시작했다.","[{'user': '이거갓겜이냐', 'comment': '어어'}]",https://arca.live/b/counterside/32123354,2021-08-16T14:38:46.000Z,46,7
32122913,님얼굴비매너,막상 이제 얘네 못본다니까 아쉽긴하네,,,https://arca.live/b/counterside/32122913,2021-08-16T14:32:17.000Z,378,27
32118444,마싯는감자칩,이거 보면 기계 수집가가 이볼브원에 미친년인것도 이해감,,,https://arca.live/b/counterside/32118444,2021-08-16T13:29:44.000Z,66,1
32116271,청안아이,이쯤 알아보는 현재 검은 평의회 정리,,,https://arca.live/b/counterside/32116271,2021-08-16T12:58:42.000Z,41,0
32115719,역시난,쓰레기들,어린아이와 기계에만 성욕을 느끼는구제불능 버러지들,[],https://arca.live/b/counterside/32115719,2021-08-16T12:50:09.000Z,83,3
32115243,네모현#32744865,기계수집가 누구나 알기 쉬운 짧은 분석 글. ,"평타 : 평타 사거리가 기본 레인저들 보다 김. ( 소림이 / 스카우터 오늘도 1패 ㅠㅠ ) [ 3번 공격마다 경직 있는 강평 수류탄 던져줌. ] [ 반디캠 영상 조금 멈칫해서 잘못 찍었는데 강평 수류탄 쳐맞고 경직으로 움찔 거리는 스피라와 미니스트라를 볼수 있음. ]특수기 : 즉시 시전 판정. 손가락 총 자세 취하면 바로 스킬 발사함. 카운터사이드 스킬모션 TOP 10에 들어도 될정도로 존나 좋음.[ 피해감소 억제 ] : [ 관통 아님. 5~25% 메카닉에겐 두배로 억제 해줌. ][ 100의 피해를 입는데 피감 10%가 있다면 90의 데미지를 받을꺼라고 일반적으로 생각할탠데 이걸 몇%만큼 억제 해주는거. ]스킬 5렙 되면, 적의 영구효과 제외한 이로운 효과 1개 삭제. 메카닉에겐 스턴 4초도 달아주니까. 아주 좋음.이로운 효과 1개 삭제는 베로니카 무적 쉴드 옷 벗겨줄수 있고. 상대 배리어 하나 즉시 벗겨줄수 있음 ㅋㅋ. ( 오퍼 시그마 배리어와 각힐데 배리어는 못벗김. )   ------------------------------------------------------------------------------------------------------------------ 패시브 : [ 이게 시발 피해 감소만 적용되고, 카운터 피해감소 /솔저 피해감소 /메카닉 피해감소 /상성 피해감소 는 적용 안되면 병신이겠지만 적용될꺼임. 똑같이 피해감소 니까. ] 4스택은 특수기 패시브라 볼 필요 없음. 중요한건 12초간 ★자신과 아군에게 피해감소 관통 25%★ 추가 해준다는거다.------------------------------------------------------------------------------------------------------------------세라핌 ""피해 감소"" 25%로 만들어줌.------------------------------------------------------------------------------------------------------------------강민우 카운터 ""피해 감소"" 15%로 되버림. [ 풀강이 아닐시 5%됨 ㅋ. ]------------------------------------------------------------------------------------------------------------------이유미 패시브 받는 피해량 -15% 라는게 이 것도 피해 감소로 적용되는지 모르겠음.기순이 눈나 패시브는 25% 무시하는 거니까 0%가 되어버림. ㅋㅋ------------------------------------------------------------------------------------------------------------------각힐데 상성 배리어 유지중 ""피해 감소"" 100% 아니게 됨. 75% 되버림.------------------------------------------------------------------------------------------------------------------이볼브 원 [ 3스택 피해감소 45% + 코핀 쎅스 15% 피해감소 ]------------------------------------------------------------------------------------------------------------- -----------------------------[ 메카닉 에겐 2배 적용됨 - 50% 개꿀. ]특수기는 영구 효과가 아니라서 억제 적용 안됨. 씨발ㅠㅠ.----------------------------- 궁극기 : 볼 일 없음. PVE에서만 쓸만함. 그전에 게임 끝나거든. 질질 끌정도로 기계수집가가 살아있다면 이미 적 앞라인 다 터졌거나 우리 앞라인 터져있음. 그냥 1회용 무적기라고 사용하면 편함.[ 평가 : PVP 좋아하는 사람만 뽑으면 되긴 할탠데, 애도 리타처럼 필수캐가 될 수 있는 버프를 받을 수도 있음. 그냥 뽑아놓는게 좋을꺼임. ]","[{'user': '전어', 'comment': '정보추'}]",https://arca.live/b/counterside/32115243,2021-08-16T12:43:33.000Z,172,9
32114489,네모현#32744865,이번주 다이아 11연승 기순이 메살 덱 약팔러옴 [ 데이터 주의 ],,,https://arca.live/b/counterside/32114489,2021-08-16T12:31:52.000Z,104,3
32113140,아기릴리,기순이 픽업 언제까지임?,시발 받는 쿼츠 다 털어야 천장치겠노,,https://arca.live/b/counterside/32113140,2021-08-16T12:10:38.000Z,23,0
32110518,불타는백두산,이볼브원 씨발년 목소리 존나 음탕하네,,,https://arca.live/b/counterside/32110518,2021-08-16T11:31:59.000Z,66,0
32108684,돼지#79685408,이볼브원 암컷뷰지스킨 개필수인데,,,https://arca.live/b/counterside/32108684,2021-08-16T11:03:24.000Z,59,0
32108038,머때매안뎀,이볼브원 기계뷰지에다가,,,https://arca.live/b/counterside/32108038,2021-08-16T10:53:42.000Z,51,-1
32105520,응디탁#58943363,43프로 기상업 이거실화노?,,,https://arca.live/b/counterside/32105520,2021-08-16T10:13:45.000Z,85,3
32104828,주시윤,"라라 예거, 기집이는 생각보다 빨리 나온것 같은데",레이는 언제 나옴??,"[{'user': '라이트닝카운터', 'comment': '""각성""'}]",https://arca.live/b/counterside/32104828,2021-08-16T10:02:34.000Z,78,0
32103188,철덩이,우리 다같이 메카닉 할까요?,기계는 아무리 박아도 닳지 않는다고,"[{'user': 'Rhidelz', 'comment': '메카닉 개사기로 찍혀서 고로시 500배 당할듯'}]",https://arca.live/b/counterside/32103188,2021-08-16T09:37:32.000Z,31,0
32102030,"ㅇㅇ, 221.148",미래의 전투는 기계가 하는거다,그래서 머만섭 겜 이름이 미래전이었던거고,,https://arca.live/b/counterside/32102030,2021-08-16T09:19:38.000Z,23,0
32099070,알파버지니스,긴급) 지금 다운시간 늘리는거 개발자 대가리 후라이팬으로 갈겨서라도 멈춰야함,이새끼는 기계라 다운에 면역인데강평에 다운이 달렸음코핀 2스에도 다운달리고 공속감소 달림이새끼는 특수기에 다운이 달려있음이새끼는 출격기에 다운이 달려있음이새끼는 존재 자체가 다운임2코스트가 졸라 멀리까지 다운시킴이새끼들 단체로 상향먹고나면카운터사이드 할 자신이 없음,"[{'user': '이거갓겜이냐', 'comment': 'ㄹㅇ'}]",https://arca.live/b/counterside/32099070,2021-08-16T08:37:24.000Z,1711,74
32098186,하랍픽업좀,기계수집가도 무조건 뽑아야함,이게임 무지성 버프 지림ㄹㅇ,,https://arca.live/b/counterside/32098186,2021-08-16T08:25:21.000Z,36,0
32093044,평생카사해,이볼브 상대해본 애들아 킹덱에 리타가 나음 기계수집가가 나음?,둘다 넣긴 좀 부담가고...,"[{'user': '네모현#32744865', 'comment': '기순이가 더 나음 패시브 3스택 무시해서'}]",https://arca.live/b/counterside/32093044,2021-08-16T06:58:55.000Z,69,0
32092918,아보라#44564726,기순이 일러 수정해봄,차이 없어보이면 그건 정상임,[],https://arca.live/b/counterside/32092918,2021-08-16T06:56:40.000Z,140,7
32092530,미나링,기순이가 엄청 성능캐임?,바로채용달리면 됨???,"[{'user': '겟타', 'comment': '지금 당장은 반대임'}]",https://arca.live/b/counterside/32092530,2021-08-16T06:49:43.000Z,136,0
32092460,네모현#32744865,걍 기계수집가한테 원거리 골디 공속 주고 쓰니까,뭐노 토템 쉑... 1밴 이프리트가 이볼브원 왤캐 잘 갈아마시노;,"[{'user': 'ㅇㅇ#34535044', 'comment': '기순이 토템만 있으면 스패로우도 존나쌔짐'}, {'user': '겟타', 'comment': '기계 자체 스팩은 별로인듯 그냥 토템같음'}, {'user': 'diqkf운터', 'comment': '자체딜이 아예 떨어지는건 또 아님 강평 스택 채우다 보면 나름 딜도 괜찮게 넣어'}]",https://arca.live/b/counterside/32092460,2021-08-16T06:48:26.000Z,83,0
32090802,ㅇㅇ#34535044,기순이...강하다...,초기리타급은 아닌듯함 이번주는,,https://arca.live/b/counterside/32090802,2021-08-16T06:15:27.000Z,67,2
32089290,대딸방,"""히히 기순아 이것좀 먹어봐...""",으읏....너 이상한거 먹일려고 하지..?좋다...빨리 끝내라...? 뭔 개소리야 미친년아앗.....히히!,"[{'user': 'Aoi', 'comment': '커엽노'}, {'user': '주블', 'comment': '어어 점마 왜 말끔해졌노'}, {'user': '던붕이', 'comment': '막창 떼깔보소'}, {'user': '카구야루나', 'comment': 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'}]",https://arca.live/b/counterside/32089290,2021-08-16T05:48:05.000Z,978,31
32089288,ㅇㅇ#65297108,근데 기집가는 볼수록 먼가 꼴림,먼가존나야해,"[{'user': '카구야루나', 'comment': 'ㄹㅇ 저 벌래잡고 흔들때 표정이 쥬지잡고 흔들때면 딱 ㄷㄷㄷㄷㄷㄷㄷㄷㄷ'}]",https://arca.live/b/counterside/32089288,2021-08-16T05:48:03.000Z,76,1
32088907,느검마비아그라먹방,기순이 성능 씹적폐? 인거같애,,,https://arca.live/b/counterside/32088907,2021-08-16T05:40:14.000Z,315,5
32088802,ㅇㅇ#34535044,기순이 좋은것같음,기순이 있으면 전열 녹이는속도가 아예다르더라,"[{'user': '카구야루나', 'comment': '오우..'}]",https://arca.live/b/counterside/32088802,2021-08-16T05:38:17.000Z,64,0
32085650,뜨뜻,뉴비속보) 채용개약서 128개모음 ㅎ,,,https://arca.live/b/counterside/32085650,2021-08-16T04:40:17.000Z,126,1
32085481,직쏘군,이곳은 공기부터 매우 더럽군,작년 5월에시작해서 기계만을 고집했던나를위한 축복....,[],https://arca.live/b/counterside/32085481,2021-08-16T04:37:11.000Z,108,0
